tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
When the Phone Rings,2024,8.1,Age rating not found,"netflix, amazonprimevideo",1h 9min,"Drama, Romance, Mystery & Thriller",South Korea,https://www.justwatch.com/in/tv-show/when-the-phone-rings
The Agency,2024,7.2,Age rating not found,amazonprimevideo,49min,"Drama, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/the-agency
Yeh Kaali Kaali Ankhein,2022,7.0,Age rating not found,"netflix, amazonprimevideo",41min,"Comedy, Crime, Mystery & Thriller, Drama",India,https://www.justwatch.com/in/tv-show/these-black-black-eyes
One Hundred Years of Solitude,2024,8.6,Age rating not found,"netflix, amazonprimevideo",1h 4min,"Science-Fiction, Drama, Fantasy, History",Colombia,https://www.justwatch.com/in/tv-show/one-hundred-years-of-solitude
Taaza Khabar,2023,8.1,Age rating not found,"hotstar, hotstar, amazonprimevideo",32min,"Drama, Science-Fiction, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/taaza-khabar
Citadel: Honey Bunny,2024,6.2,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",50min,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/tv-show/citadel-honey-bunny
Silo,2023,8.1,A,"appletvplus, appletvplus, appletvplus, appletvplus",49min,"Drama, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/silo
Arcane,2021,9.1,Age rating not found,"netflix, amazonprimevideo",41min,"Fantasy, Science-Fiction, Animation, Action & Adventure, Drama","France, United States",https://www.justwatch.com/in/tv-show/arcane
Light Shop,2024,7.8,Age rating not found,"hotstar, amazonprimevideo",49min,"Drama, Horror, Mystery & Thriller",South Korea,https://www.justwatch.com/in/tv-show/light-shop
The Pradeeps of Pittsburgh,2024,6.1,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",28min,"Comedy, Drama","Canada, United States",https://www.justwatch.com/in/tv-show/the-pradeeps-of-pittsburgh
Bigg Boss,2006,3.6,Age rating not found,"tatasky, jiocinema, amazonprimevideo",1h 12min,Reality TV,India,https://www.justwatch.com/in/tv-show/bigg-boss
Senna,2024,8.3,A,"netflix, amazonprimevideo",1h 3min,"Sport, Drama",Brazil,https://www.justwatch.com/in/tv-show/senna
Dandadan,2024,8.6,Age rating not found,"amazonprimevideo, amazoncrunchyroll, netflix, amazonprimevideo, amazonanimetimes, amazonprimevideo",24min,"Action & Adventure, Comedy, Fantasy, Romance, Science-Fiction, Mystery & Thriller, Animation",Japan,https://www.justwatch.com/in/tv-show/dan-da-dan
Farzi,2023,8.3,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",56min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/farzi
XXX: Uncensored,2018,4.8,Age rating not found,"altbalaji, amazonprimevideo",22min,"Comedy, Drama, Romance",India,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
Attack on Titan,2013,9.1,UA,"amazonprimevideo, amazonanimetimes, amazonprimevideo, amazonprimevideo",25min,"Fantasy, Horror, Animation, Action & Adventure, Drama, Science-Fiction",Japan,https://www.justwatch.com/in/tv-show/attack-on-titan
Vikkatakavi,2024,7.6,Age rating not found,"zee5, amazonprimevideo",38min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/vikkatakavi
Mastram,2020,6.9,Age rating not found,"vimoviesandtv, amazonprimevideo",28min,"Drama, Comedy, Fantasy",India,https://www.justwatch.com/in/tv-show/mastram
