,movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
37,Black,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 30min,"Mystery & Thriller, Science-Fiction, Horror",India,https://www.justwatch.com/in/movie/black-2024
38,Gladiator II,2024,6.8,NA,"bookmyshow, amazonprimevideo, amazon",2h 28min,"Action & Adventure, Drama","United Kingdom, Morocco, Canada, Malta, United States",https://www.justwatch.com/in/movie/gladiator-2
39,Conclave,2024,7.4,NA,amazonprimevideo,2h 0min,"Drama, Mystery & Thriller","United Kingdom, United States",https://www.justwatch.com/in/movie/conclave
40,The Reader,2008,7.6,A,"amazonprimevideo, amazonprimevideo, lionsgateplay, amazonprimevideo, amazon",2h 4min,"Drama, Romance, Made in Europe","United States, Germany",https://www.justwatch.com/in/movie/the-reader
41,Marco,2024,8.7,A,amazonprimevideo,2h 25min,Action & Adventure,India,https://www.justwatch.com/in/movie/marco-2024
42,Girls Will Be Girls,2024,7.1,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 59min,"Drama, Romance","United States, France, India, Norway",https://www.justwatch.com/in/movie/girls-will-be-girls-2024
43,Kill,2024,7.5,A,"hotstar, amazonprimevideo",1h 45min,"Drama, Mystery & Thriller, Action & Adventure, Crime",India,https://www.justwatch.com/in/movie/kill-2024
44,Meiyazhagan,2024,8.4,U,"netflix, amazonprimevideo",2h 57min,"Kids & Family, Drama",India,https://www.justwatch.com/in/movie/meiyazhagan
45,Viduthalai: Part I,2023,8.3,A,"vimoviesandtv, zee5, amazonprimevideo",2h 26min,"Mystery & Thriller, Crime, Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/viduthalai-part-1
46,Heretic,2024,7.1,NA,"bookmyshow, amazonprimevideo",1h 51min,"Horror, Mystery & Thriller","Canada, United States",https://www.justwatch.com/in/movie/heretic
47,Naughty,2023,4.8,NA,"amazon, amazonprimevideo",1h 49min,"Drama, Romance",Russia,https://www.justwatch.com/in/movie/neposlushnaia
48,Kraven the Hunter,2024,5.4,NA,amazonprimevideo,2h 7min,"Mystery & Thriller, Action & Adventure",United States,https://www.justwatch.com/in/movie/kraven-the-hunter
49,Bhool Bhulaiyaa 2,2022,5.7,UA,"netflix, amazonprimevideo",2h 23min,"Horror, Comedy",India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-2
50,Juror #2,2024,7.0,NA,"itunes, itunes, amazon, amazonprimevideo, itunes",1h 53min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/juror-2
51,Smile 2,2024,6.8,NA,"itunes, amazon, itunes, amazonprimevideo, itunes",2h 7min,"Horror, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/smile-2
52,Moana 2,2024,7.0,NA,"bookmyshow, amazonprimevideo",1h 40min,"Animation, Action & Adventure, Kids & Family, Comedy, Fantasy","Canada, United States",https://www.justwatch.com/in/movie/moana-2
53,Kalinga,2024,8.1,NA,"amazonprimevideo, amazonprimevideo, aha, amazonprimevideo",1h 56min,Horror,India,https://www.justwatch.com/in/movie/kalinga-2024
54,K.G.F: Chapter 1,2018,8.2,UA,"amazonprimevideo, amazonprimevideo, hotstar, amazonprimevideo, amazon",2h 36min,"Mystery & Thriller, Action & Adventure, Crime, Drama",India,https://www.justwatch.com/in/movie/k-g-f-chapter-1
55,Animal,2023,6.1,A,"netflix, amazonprimevideo",3h 21min,"Drama, Action & Adventure, Crime, Mystery & Thriller",India,https://www.justwatch.com/in/movie/animal-2022
56,Harry Potter and the Philosopher's Stone,2001,7.7,U,"itunes, jiocinema, tatasky, amazonprimevideo, itunes, itunes",2h 32min,"Action & Adventure, Fantasy, Kids & Family","United Kingdom, United States",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
57,K.G.F: Chapter 2,2022,8.2,UA,"amazonprimevideo, amazonprimevideo, vimoviesandtv, amazonprimevideo, amazon",2h 46min,"Action & Adventure, Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/k-g-f-chapter-2
58,The Lion King,2019,6.8,U,"itunes, vimoviesandtv, hotstar, amazonprimevideo, amazon, tatasky, itunes, itunes",1h 58min,"Action & Adventure, Drama, Kids & Family, Animation, Fantasy",United States,https://www.justwatch.com/in/movie/the-lion-king-2019
59,Bloody Beggar,2024,6.2,UA,"amazonprimevideo, amazonprimevideo, sunnxt, amazonprimevideo, amazon",2h 19min,"Comedy, Drama",India,https://www.justwatch.com/in/movie/bloody-beggar-2024
60,The Wolf of Wall Street,2013,8.2,A,"lionsgateplay, appletvlionsgateplay, amazonprimevideo, amazonlionsgateplay, amazon",3h 0min,"Crime, Drama, Comedy",United States,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
61,Despatch,2024,4.5,A,"zee5, amazonprimevideo",2h 31min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/despatch
62,Bhagwan Bharose,2023,6.5,UA,amazonprimevideo,1h 37min,"Kids & Family, Drama, Comedy",India,https://www.justwatch.com/in/movie/bhagwan-bharose
63,Twisters,2024,6.5,UA,"itunes, jiocinema, itunes, amazonprimevideo, amazon, itunes",2h 3min,"Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/twisters
64,Dune: Part Two,2024,8.5,UA,"itunes, jiocinema, itunes, amazonprimevideo, amazon, itunes",2h 47min,"Action & Adventure, Science-Fiction, Drama",United States,https://www.justwatch.com/in/movie/dune-part-two
65,Kalki 2898 AD,2024,7.1,UA,"amazonprimevideo, amazonprimevideo, netflix, amazonprimevideo, amazon, bookmyshow",3h 0min,"Mystery & Thriller, Action & Adventure, Drama, Fantasy, Science-Fiction",India,https://www.justwatch.com/in/movie/kalki-2898-ad
66,Tumbbad,2018,8.2,A,amazonprimevideo,1h 44min,"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe","Sweden, India",https://www.justwatch.com/in/movie/tumbbad
67,Interstellar,2014,8.7,UA,"amazonprimevideo, itunes, amazonprimevideo, jiocinema, amazonprimevideo, netflix, amazon, tatasky, itunes, itunes",2h 49min,"Science-Fiction, Drama","United Kingdom, Canada, United States",https://www.justwatch.com/in/movie/interstellar
68,Oldboy,2003,8.3,A,"amazonprimevideo, amazonprimevideo, jiocinema, amazonprimevideo",2h 0min,"Action & Adventure, Drama, Mystery & Thriller",South Korea,https://www.justwatch.com/in/movie/oldboy-2003
