,tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
0,Thukra Ke Mera Pyaar,2024,6.6,NA,amazonprimevideo,23min,Romance,India,https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar
1,From,2022,7.8,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",51min,"Science-Fiction, Mystery & Thriller, Drama, Horror",United States,https://www.justwatch.com/in/tv-show/from
2,The Day of the Jackal,2024,8.2,NA,"jiocinema, amazonprimevideo",51min,"Action & Adventure, Crime, Drama, Mystery & Thriller","United Kingdom, United States",https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
3,Mismatched,2020,5.9,NA,"netflix, amazonprimevideo",36min,"Comedy, Drama, Romance",India,https://www.justwatch.com/in/tv-show/mismatched
4,Secret Level,2024,7.6,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",15min,"Fantasy, Science-Fiction, Animation, Action & Adventure",United States,https://www.justwatch.com/in/tv-show/secret-level
5,Mirzapur,2018,8.4,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",50min,"Action & Adventure, Drama, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/tv-show/mirzapur
6,Scam 1992: The Harshad Mehta Story,2020,9.2,NA,"sonyliv, vimoviesandtv, amazonprimevideo",52min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/scam-1992
7,Dune: Prophecy,2024,7.3,NA,"jiocinema, amazonprimevideo",1h 3min,"Science-Fiction, Action & Adventure, Drama","Hungary, United States, Canada",https://www.justwatch.com/in/tv-show/dune-the-sisterhood
8,The Penguin,2024,8.7,NA,"jiocinema, amazonprimevideo",58min,"Drama, Crime, Fantasy",United States,https://www.justwatch.com/in/tv-show/the-penguin
9,Aindham Vedham,2024,7.4,NA,"zee5, amazonprimevideo",34min,Mystery & Thriller,India,https://www.justwatch.com/in/tv-show/aindham-vedham
10,Black Doves,2024,7.2,NA,"netflix, amazonprimevideo",54min,"Mystery & Thriller, Crime, Action & Adventure, Drama",United Kingdom,https://www.justwatch.com/in/tv-show/black-doves
11,Solo Leveling,2024,8.3,NA,"amazoncrunchyroll, amazonprimevideo",24min,"Fantasy, Animation, Action & Adventure, Science-Fiction","Japan, South Korea",https://www.justwatch.com/in/tv-show/solo-leveling-2024
12,Game of Thrones,2011,9.2,U,"jiocinema, amazonprimevideo",58min,"Science-Fiction, Drama, Action & Adventure, Fantasy",United States,https://www.justwatch.com/in/tv-show/game-of-thrones
13,Yellowstone,2018,8.6,NA,"netflix, amazonprimevideo",51min,"Western, Drama",United States,https://www.justwatch.com/in/tv-show/yellowstone
14,Cruel Intentions,2024,5.4,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",42min,Drama,United States,https://www.justwatch.com/in/tv-show/cruel-intentions
15,When the Phone Rings,2024,8.1,NA,"netflix, amazonprimevideo",1h 9min,"Drama, Romance, Mystery & Thriller",South Korea,https://www.justwatch.com/in/tv-show/when-the-phone-rings
16,The Agency,2024,7.2,NA,amazonprimevideo,49min,"Drama, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/the-agency
17,Yeh Kaali Kaali Ankhein,2022,7.0,NA,"netflix, amazonprimevideo",41min,"Comedy, Crime, Mystery & Thriller, Drama",India,https://www.justwatch.com/in/tv-show/these-black-black-eyes
18,One Hundred Years of Solitude,2024,8.6,NA,"netflix, amazonprimevideo",1h 4min,"Science-Fiction, Drama, Fantasy, History",Colombia,https://www.justwatch.com/in/tv-show/one-hundred-years-of-solitude
19,Taaza Khabar,2023,8.1,NA,"hotstar, hotstar, amazonprimevideo",32min,"Drama, Science-Fiction, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/taaza-khabar
20,Citadel: Honey Bunny,2024,6.2,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",50min,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",India,https://www.justwatch.com/in/tv-show/citadel-honey-bunny
21,Silo,2023,8.1,A,"appletvplus, appletvplus, appletvplus, appletvplus",49min,"Drama, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/silo
22,Arcane,2021,9.1,NA,"netflix, amazonprimevideo",41min,"Fantasy, Science-Fiction, Animation, Action & Adventure, Drama","France, United States",https://www.justwatch.com/in/tv-show/arcane
23,Light Shop,2024,7.8,NA,"hotstar, amazonprimevideo",49min,"Drama, Horror, Mystery & Thriller",South Korea,https://www.justwatch.com/in/tv-show/light-shop
24,The Pradeeps of Pittsburgh,2024,6.1,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",28min,"Comedy, Drama","Canada, United States",https://www.justwatch.com/in/tv-show/the-pradeeps-of-pittsburgh
25,Bigg Boss,2006,3.6,NA,"tatasky, jiocinema, amazonprimevideo",1h 12min,Reality TV,India,https://www.justwatch.com/in/tv-show/bigg-boss
26,Senna,2024,8.3,A,"netflix, amazonprimevideo",1h 3min,"Sport, Drama",Brazil,https://www.justwatch.com/in/tv-show/senna
27,Dandadan,2024,8.6,NA,"amazonprimevideo, amazoncrunchyroll, netflix, amazonprimevideo, amazonanimetimes, amazonprimevideo",24min,"Action & Adventure, Comedy, Fantasy, Romance, Science-Fiction, Mystery & Thriller, Animation",Japan,https://www.justwatch.com/in/tv-show/dan-da-dan
28,Farzi,2023,8.3,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",56min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/farzi
29,XXX: Uncensored,2018,4.8,NA,"altbalaji, amazonprimevideo",22min,"Comedy, Drama, Romance",India,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
30,Attack on Titan,2013,9.1,UA,"amazonprimevideo, amazonanimetimes, amazonprimevideo, amazonprimevideo",25min,"Fantasy, Horror, Animation, Action & Adventure, Drama, Science-Fiction",Japan,https://www.justwatch.com/in/tv-show/attack-on-titan
31,Vikkatakavi,2024,7.6,NA,"zee5, amazonprimevideo",38min,"Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/vikkatakavi
32,Mastram,2020,6.9,NA,"vimoviesandtv, amazonprimevideo",28min,"Drama, Comedy, Fantasy",India,https://www.justwatch.com/in/tv-show/mastram
33,Creature Commandos,2024,7.8,NA,"jiocinema, amazonprimevideo",23min,"Animation, Science-Fiction, Action & Adventure, War & Military, Fantasy, Horror",United States,https://www.justwatch.com/in/tv-show/creature-commandos
34,Superman & Lois,2021,7.8,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",42min,"Drama, Science-Fiction, Action & Adventure",United States,https://www.justwatch.com/in/tv-show/superman-and-lois
35,Breaking Bad,2008,9.5,A,"netflix, amazonprimevideo",47min,"Drama, Crime, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/breaking-bad
36,The Boys,2019,8.7,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo",1h 1min,"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",United States,https://www.justwatch.com/in/tv-show/the-boys
